company,n_sites,name_variants,company_source,parent_codes,n_countries,countries,regions,verticals,customer_classes,best_segmentation,has_hq_site,fda_any,first_created,last_updated,n_flag_review
HAAF Spedition GmbH & Co. KG,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
HAARSLEV MACHINERY (XUZHOU) CO. LTD.,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-07-17,0
HAGER S.A.S.,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
HAL Allergenen Laboratorium,1,,site_name,,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
HAL Aluminum Mexico Servicios SA de CV,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-07-17,0
Guangzhou Zheng Zhuang Technology Limited,1,,site_name,,1,China,Asia-Pacific,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
HANKY PANKY TOYS THAILAND,1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
HARDIS SAS,1,,site_name,,1,France,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
"HAXC Holdings (Beijing) Co., Ltd",1,,global_hq_rollup,,1,China,Asia-Pacific,Automotive,Customer,,True,False,2023-01-05,2025-10-03,0
HC Consulting Services P/L,1,,site_name,,1,Australia,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
HCL Hewlett Packard Ltd,1,,site_name,,1,India,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
HCL Technologies Ltd.,1,,site_name,,1,India,Asia-Pacific,,Partner,,False,False,2020-10-31,2024-11-22,0
HCS Group,1,,global_hq_rollup,,1,United Kingdom,EMEA,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
HDS Info Management,1,,site_name,,1,Netherlands,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
HEMSAP S. DE R.L. DE C.V.,1,,site_name,,1,Mexico,Latin America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
HAME,1,,site_name,,1,Czech Republic,EMEA,,Customer,,False,False,2020-10-31,2023-04-28,0
Guardian Automotive,1,,site_name,,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Guardian Industries Corp.,1,,global_hq_rollup,,1,Mexico,Latin America,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
Guardian Products,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Guide Lighting Technologies,1,,site_name,Guidec,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Guidepoint Global Advisors,1,,site_name,,1,United States,North America,,Customer,,False,False,2021-04-24,2023-04-29,0
Guillermo Serrano,1,,site_name,,1,Argentina,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Guillevin International Co,1,,global_hq_rollup,,1,Canada,North America,Electronics,Former Customer,C,False,False,2020-10-31,2025-10-03,0
Gulf Coast Container,1,,site_name,,1,United States,North America,,Customer,,False,False,2021-04-24,2023-04-29,0
Gulf Coast Repair & Machine,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
H-Square Corporation,1,,global_hq_rollup,,1,United States,North America,Electronics,Customer,,True,False,2020-10-31,2025-10-03,0
Gulf Shore Assemblies LLC,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-28,0
Gunns Limited,1,,global_hq_rollup,,1,Australia,Asia-Pacific,Consumer Products,Customer,,True,False,2020-10-31,2025-10-03,0
Gursas Elektronik Cihaz,1,,site_name,,1,Turkey,EMEA,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
Guy & O'Neill,1,,global_hq_rollup,,1,United States,North America,Life Sciences,Customer,,True,False,2024-02-24,2025-10-03,0
Guy Logan Consultants,1,,site_name,,1,United States,North America,,Partner,,False,False,2020-10-31,2024-11-22,0
Gyrex Corporation,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Gyrus Medical,1,,site_name,Olympu,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Göhler GmbH & Co. KG,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2021-01-16,2023-04-29,0
H E Microwave,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Gulf Island Shipyards,1,,site_name,,1,United States,North America,,Customer,,False,False,2021-04-24,2023-04-29,0
Hilat,1,,global_hq_rollup,,1,Colombia,Latin America,Consumer Products,Customer,,True,False,2020-10-31,2025-10-03,0
Hill-Rom,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Hillary's Blinds Ltd.,1,,global_hq_rollup,,1,United Kingdom,EMEA,Consumer Products,Customer,,True,False,2020-10-31,2025-10-03,0
"Hillenbrand, Inc.",1,,global_hq_rollup,Hillen,1,United States,North America,Industrial,Customer,,False,False,2020-11-01,2025-10-14,0
Hillsdale Furniture Llc,1,,global_hq_rollup,,1,United States,North America,Consumer Products,Customer,,True,False,2023-04-20,2024-11-01,0
Hilmar Cheese Company,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Hilsinger Company,1,,global_hq_rollup,,1,United States,North America,Life Sciences,Customer,,True,False,2020-10-31,2025-10-03,0
Hindustan Coca-Cola Beverage,1,,site_name,Ccompa,1,India,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Harbison Walker Refractories,1,,site_name,Anhref,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Hindustan Unilever Limited,1,,site_name,,1,India,Asia-Pacific,,Bill-To,,False,False,2020-11-01,2023-04-29,0
"Hinode Holdings CO., LTD.",1,,global_hq_rollup,,1,Japan,Asia-Pacific,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
Hinton Information Serv ices,1,,site_name,,1,China,Asia-Pacific,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Hipto,1,,site_name,,1,France,EMEA,Other,Former Customer,,False,False,2023-01-25,2025-10-03,0
"Hirosawa Automotive Trim Co., Ltd",1,,global_hq_rollup,Hirosa,1,China,Asia-Pacific,Automotive,Customer,,True,False,2020-10-31,2025-10-03,0
Hirotec Corporation,1,,global_hq_rollup,Hirote,1,Australia,Asia-Pacific,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
Hiruta Asteer Summit Co. Ltd,1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Hitachi Capital (Thailand),1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Hitachi Computer Prod. Inc.,1,,site_name,Hitach,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Hindustan Petroleum Co Ltd,1,,site_name,,1,India,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Hewlett Packard S.P.A.,1,,site_name,Hewlet,1,Italy,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
Hewlett Packard Samsung,1,,site_name,,1,South Korea,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Hewlett Packard Singapore,1,,site_name,,1,Singapore,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Hewlett Packard de,1,,site_name,Hewlet,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Hewlett-Packard Europe,1,,site_name,Hewlet,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Hewlett-Packard Financial,1,,site_name,,1,Canada,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Hewlett-Packard Germany,1,,site_name,,1,Germany,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
Hewlett-Packard GmbH Dt.,1,,site_name,,1,Germany,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
Hewlett-Packard Spain S.A.,1,,site_name,,1,Spain,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
Highlands Diversified Services,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-07-17,0
Hextronik Limited,1,,site_name,,1,Hong Kong,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
"Hfa, Inc.",1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Hi-Tech Precision Products,1,,site_name,,1,Hong Kong,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
Hi-Tron Systems Inc,1,,global_hq_rollup,Hitron,1,South Korea,Asia-Pacific,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
Hi-Vol Products LLC,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
HiLex Corporation,1,,site_name,,1,Japan,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Hiatian Hotel,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Hicom Automotive Plastics,1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
High Caliber Line,1,,global_hq_rollup,,1,United States,North America,Other,Customer,A,True,False,2022-04-27,2025-12-07,0
Hexaware Technologies Inc.,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
"Honda Motor Co.,Ltd.",1,,global_hq_rollup,Hondam,1,Mexico,Latin America,Automotive,Customer,,False,False,2020-11-14,2024-11-01,0
Honest Win Co Ltd,1,,site_name,,1,Hong Kong,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
Honeyville Inc HQ,1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Customer,,False,False,2024-02-24,2025-10-03,0
Honeywell,1,,site_name,Honeyw,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
"Honeywell International, Inc.",1,,site_name,Honeyw,1,United States,North America,,Customer,,False,False,2021-04-24,2023-04-29,0
Honeywell Japan Inc.,1,,site_name,Honeyw,1,Japan,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Honeywell Scanning and,1,,site_name,Honeyw,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Honeywell Scanning and Mobility,1,,site_name,Honeyw,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Honeywell Security(China)Co.,1,,site_name,Honeyw,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Hitachi Consumer Products,1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-28,0
Hong Kong Productivity,1,,site_name,,1,Hong Kong,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
Hong Kong Wan Ji Group,1,,site_name,,1,China,Asia-Pacific,Life Sciences,Customer,,False,False,2020-10-31,2025-10-03,0
Hong Leong Asia Ltd,1,,site_name,,1,Singapore,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-28,0
Honor Med Maskiner,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Hopkins Mfg Corp,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Horizon Technologies,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Horizon Technology Group,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Hormel Foods Corporation,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Hormel Foods Corporation HQ,1,,global_hq_rollup,Hormel,1,United States,North America,Food & Beverage,Customer,,False,False,2020-11-01,2025-10-14,0
Honeywell Turbo Technologies,1,,site_name,Honeyw,1,India,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Hitachi Home & Life Solution,1,,site_name,Hitach,1,Japan,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
Hitachi Metals Europe GmbH,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Hitachi Systems and Services,1,,site_name,Hitach,1,Japan,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Hitchcock Industrial Development Corp.,1,,site_name,,1,United States,North America,,Customer,,False,False,2021-04-24,2023-07-17,0
Hitron Systems(Suzhou)Co Ltd,1,,site_name,Hitron,1,China,Asia-Pacific,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Hnedrickson Plant #1,1,,site_name,Bolerc,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Hoad Fabrics Corp Pty Ltd,1,,site_name,,1,Australia,Asia-Pacific,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Hoechst Celanese,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Hoffer Plastics Corporation,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Hometown Food Company,1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Former Customer,C,False,False,2020-10-31,2025-12-07,0
Hogeschool Arnhem & Nijmegen,1,,site_name,,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Hohner Musikinstrumente,1,,site_name,Khsmus,1,Germany,EMEA,,Prospect,,False,False,2020-10-31,2023-04-29,0
Holland America Group,1,,site_name,,1,United States,North America,,Customer,,False,False,2021-04-24,2023-04-29,0
Hollandia Karlovy Vary,1,,global_hq_rollup,,1,Czech Republic,EMEA,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
Hollister Incorporated,1,,global_hq_rollup,Hollis,1,Ireland,EMEA,Life Sciences,Customer,,False,False,2020-10-31,2024-11-01,0
Holz Precision,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
Homag Maschinenbau AG,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Home Skin Novations Ltd.,1,,global_hq_rollup,,1,Israel,EMEA,Consumer Products,Customer,,True,False,2020-10-31,2025-10-03,0
Homeshield,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
"Hoffmann Quality Tools Trading(Shanghai)Co.,Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2022-02-20,2024-11-01,0
Hawk Composites (Suzhou),1,,global_hq_rollup,,1,China,Asia-Pacific,Automotive,Customer,,False,False,2020-11-01,2025-12-05,0
Hawk Corporation,1,,site_name,Carlis,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Hawker Pacific Aerospace Ltd,1,,site_name,Dlufth,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Haworth Inc,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Hayes Wheels Acero S.A. de,1,,site_name,Grupok,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Hayes Wheels Aluminio S.A.,1,,site_name,Grupok,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Hayes-Dana Inc.-Filters Div.,1,,site_name,Danaco,1,Canada,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Hayter Limited,1,,global_hq_rollup,,1,United Kingdom,EMEA,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Hewlett Packard Oy,1,,site_name,Hewlet,1,Finland,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
Health Minders,1,,site_name,,1,Australia,Asia-Pacific,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Health Minders Limited,1,,site_name,,1,Australia,Asia-Pacific,Life Sciences,Customer,,False,False,2020-10-31,2025-10-03,0
Health Supply US LLC,1,,site_name,,1,United States,North America,,Customer,,False,False,2021-12-15,2023-04-29,0
Health and Plant Protein Group Limited,1,,global_hq_rollup,Buderi,1,Australia,Asia-Pacific,Food & Beverage,Customer,C,True,False,2020-10-31,2025-10-03,0
Hebei Dongan Group Company,1,,global_hq_rollup,,1,China,Asia-Pacific,Automotive,Customer,,True,False,2020-10-31,2025-10-03,0
Hebei Xin Hua Wire & Cable,1,,site_name,,1,China,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
"Hefei NSK Co., Ltd.",1,,site_name,,1,China,Asia-Pacific,,Bill-To,,False,False,2020-11-01,2023-04-29,0
"Hefei Shuoyuan Engineering Machinery Parts Co., Ltd.",1,,global_hq_rollup,,1,China,Asia-Pacific,Electronics,Customer,,True,False,2023-01-14,2025-10-03,0
Heimann Foodmaker Group,1,,site_name,,1,Australia,Asia-Pacific,Food & Beverage,Customer,,False,False,2020-10-31,2025-10-03,0
"He Zhong Chuang Ya (Shenyang) Packing Co., Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2022-08-24,2024-11-01,0
Harbour Group De Mexico,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Harbour Group Ltd,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Harman Auto. Electronic,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Harman International,1,,global_hq_rollup,,1,Mexico,Latin America,Automotive,Bill-To,,False,False,2020-11-01,2024-11-01,0
Harmonic Inc.,1,,global_hq_rollup,,1,France,EMEA,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Harnischfeger Corporation,1,,site_name,Joyglo,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Harris Calorific,1,,site_name,,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Harris Corporation-RFCD,1,,site_name,Harris,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Harris Rf Communications Div,1,,site_name,Harris,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Hawaiian Host LLC,1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Customer,,True,False,2023-07-04,2024-11-01,0
Harry S. Truman College,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Hartchrom AG,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,False,False,2020-11-01,2025-12-06,0
Harte & Associates,1,,site_name,,1,Ireland,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
Hartzell,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Harvard Apparatus,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Harvard Bioscience,1,,global_hq_rollup,,1,United Kingdom,EMEA,Life Sciences,Customer,,False,False,2020-10-31,2025-10-03,0
Hastar Spolka z o.o.,1,,site_name,,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Hattersley Newman,1,,global_hq_rollup,,1,United Kingdom,EMEA,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Haulotte Groupe SA,1,,global_hq_rollup,,1,France,EMEA,Industrial,Customer,,False,False,2022-05-13,2024-11-01,0
Harris Systems Ltd,1,,site_name,,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Herbworx Corporation Pty Ltd,1,,site_name,,1,Australia,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Heritage Financial Service,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Heritage Home,1,,site_name,,1,United States,North America,,Customer,,False,False,2021-04-24,2023-04-29,0
Heritage Home Group,1,,site_name,Furnit,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Herkel B.V,1,,site_name,Ksande,1,Netherlands,EMEA,,Customer,,False,False,2021-03-11,2023-04-29,0
"Herr inductry Systems (Shanghai) Co., Ltd",1,,global_hq_rollup,,1,China,Asia-Pacific,Industrial,Customer,,True,False,2022-11-16,2024-11-01,0
Hersheys de Mexico SA de CV,1,,global_hq_rollup,,1,Mexico,Latin America,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
Herstellerverband Haus & Garten e.V.,1,,site_name,,1,Germany,EMEA,Other,Customer,,False,False,2021-01-16,2024-11-01,0
Hespri Holding B.V.,1,,site_name,,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Heimann Industries Pty Ltd,1,,site_name,,1,Australia,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Hewlett Packard Australia PL,1,,site_name,Amcorl,1,Australia,Asia-Pacific,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Hewlett Packard Belgium S.A.,1,,site_name,Hewlet,1,Belgium,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
Hewlett Packard Enterprise Company,1,,site_name,Hewlet,1,United States,North America,,Customer,,False,False,2020-10-31,2023-07-17,0
Hewlett Packard Espnola S.L,1,,site_name,Hewlet,1,Spain,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Hewlett Packard Finland,1,,site_name,,1,Finland,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
Hewlett Packard Ges.M.B.H,1,,site_name,,1,Austria,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
Hewlett Packard India Ltd,1,,site_name,,1,India,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Hewlett Packard Malaysia,1,,site_name,,1,Malaysia,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
Hewlett Packard Operations,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Hewlett Packard (Thailand)Lt,1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Helados Trendy,1,,global_hq_rollup,,1,Chile,Latin America,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
Helfont Produtos Eletricos,1,,site_name,,1,Brazil,Latin America,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
"Helios Coatings, Inc",1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
"Heliosel Sdn Bhd (Malaysia,)",1,,site_name,,1,Malaysia,Asia-Pacific,Electronics,Customer,,False,False,2023-04-19,2024-11-01,0
Helix Steel,1,,global_hq_rollup,,1,United States,North America,Industrial,Former Customer,,True,False,2021-04-24,2025-10-03,0
Hella Saturnus Slovenija,1,,site_name,,1,Slovenia,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Hella Shanghai Electronics,1,,site_name,Hellak,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Hema Otomotiv Sistemleri A S,1,,global_hq_rollup,,1,Turkey,EMEA,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
HemoCue A.B.,1,,site_name,,1,Sweden,EMEA,,Prospect,,False,False,2020-10-31,2023-04-29,0
Hera Systems Limited,1,,site_name,,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
"Henan Province Xixia Automobile Water Pump Co., Ltd.",1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-07-17,0
Hendon Semiconductors,1,,site_name,,1,Australia,Asia-Pacific,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
Hendrickson International A Div. of Hendrickson USA LLC,1,,site_name,Bolerc,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-07-17,0
Hendrickson Suspension,1,,site_name,Bolerc,1,China,Asia-Pacific,,Bill-To,,False,False,2020-11-01,2023-04-29,0
"Hengjia Kechuang (Changchun) Co., Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2021-09-11,2024-11-01,0
Henkel Teroson India Limited,1,,site_name,,1,India,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Henley Trading (HK) Limited,1,,site_name,Detmol,1,Hong Kong,Asia-Pacific,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Henn GmbH,1,,site_name,,1,Germany,EMEA,Other,Customer,,False,False,2022-04-22,2024-11-01,0
Henri Selmer Paris SA,1,,global_hq_rollup,Henris,1,France,EMEA,Consumer Products,Customer,,False,False,2020-11-01,2025-10-04,0
"Hemosonics, LLC",1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
GSK Services Unlimited,1,,site_name,Glaxos,1,United Kingdom,EMEA,,Bill-To,,False,False,2020-11-01,2023-04-29,0
GSK US Processing/Genpact AP,1,,site_name,Glaxos,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
GSS Consulting Poland Ltd,1,,site_name,,1,Poland,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
GST Manufacturas de Mexico S.A. de C.V,1,,site_name,,1,Mexico,Latin America,Other,Customer,,False,False,2021-05-06,2024-11-01,0
GT Bicycles Incorporated,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
GTE Mobile Communications,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
GTL now ViaPath,1,,global_hq_rollup,Gtelli,1,United States,North America,Electronics,Customer,,False,False,2020-10-31,2025-10-31,0
GUERBET,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Group Sense PDA Ltd,1,,site_name,,1,Hong Kong,Asia-Pacific,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
GUP Gorinfor,1,,site_name,,1,Russian Federation,EMEA,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
GVG Japan Ltd,1,,site_name,,1,Japan,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
"GVW Group,LLC.",1,,site_name,Gvwgro,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"GW Plastics, Inc.",1,,site_name,Gwplas,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
GW Technologies Co. Ltd.,1,,site_name,,1,China,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
GWA Group Ltd.,1,,global_hq_rollup,Gwaint,1,Australia,Asia-Pacific,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
GXO Logistics Supply Chain,1,,site_name,,1,United States,North America,Other,Customer,,False,False,2023-10-17,2024-11-01,0
GYD Iberica S.A.,1,,site_name,,1,Spain,EMEA,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
"Gaash (Israel,)",1,,global_hq_rollup,,1,Israel,EMEA,Electronics,Customer,,True,False,2020-10-31,2025-10-03,0
GULLFIBER AB,1,,site_name,,1,Sweden,EMEA,Industrial,Customer,,False,False,2020-10-31,2024-11-01,0
GO GREEN RECYCLING,1,,site_name,,1,India,Asia-Pacific,,Customer,,False,False,2021-02-18,2023-04-29,0
GORA CORPORATIVO EMPRESARIAL,1,,site_name,,1,Mexico,Latin America,,Prospect,,False,False,2022-06-18,2023-06-03,0
GOULD FIBER OPTICS,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
GP Acoustics France SAS,1,,site_name,Gpindu,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
GP Strategy Mexico SA de CV,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
GPAC Shanghai CO. LTD.,1,,site_name,,1,Hong Kong,Asia-Pacific,,Customer,,False,False,2023-04-17,2023-04-29,0
GRIWE Innovative,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
GRL Investments Pty Limited,1,,site_name,,1,Australia,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
